Timeslot,1st speaker name,1st speaker handle,2nd speaker name,2nd speaker handle,3rd speaker name,3rd speaker handle,4th speaker name,4th speaker handle,talk id,Linked Sessions,Conference Events,Title,Description,Location,Session Type,Type,Start,End,Location Description,Track,Link URL,Link Text
,Jon Wilson,jon2600.bsky.social,,,,,,,XxPMqvO,"Build and share personal apps, using an open source tool to help get started","Build and share personal apps, using an open source tool to help get started","Build and share personal apps, using an open source tool to help get started",,,Presentation,Session,,,,Development and Protocol,,
,Matt Reeder,matt.bsky.team,,,,,,,J9jEdWJ,Is this even legal?,Is this even legal?,Is this even legal?,,,Discussion / Panel,Session,,,,Media and Civics,,
"March 26, 2026 09:00 AM - 09:30 AM",,,,,,,,,thurs-doors,Doors Open,Doors Open,Doors Open,,,Info,Info,"March 26th, 2026 9:00am","March 26th, 2026 9:30am",,,,
"March 26, 2026 09:30 AM - 12:30 PM",Nick Gerakines,ngerakines.me,,,,,,,Y5KB1kv,OAuth Masterclass,OAuth Masterclass,OAuth Masterclass,,2301 Classroom,Workshop,Session,"March 26th, 2026 9:30am","March 26th, 2026 12:30pm",,Development and Protocol,,
"March 26, 2026 09:30 AM - 12:30 PM",,,,,,,,,thurs-unconf-2311,Unconf Classroom,Unconf Classroom,Unconf Classroom,,2311 Classroom,Activity,Activity,"March 26th, 2026 9:30am","March 26th, 2026 12:30pm",,,,
"March 26, 2026 09:30 AM - 12:30 PM",,,,,,,,,thurs-unconf-bukhman,Unconf Discussions,Unconf Discussions,Unconf Discussions,,Bukhman Lounge,Activity,Activity,"March 26th, 2026 9:30am","March 26th, 2026 12:30pm",,,,
"March 26, 2026 10:30 AM - 12:30 PM",Dawn Walker,dcwalker.ca,,,,,,,A7ebKjo,Hospicing social media: Personal archival practices for transition,Hospicing social media: Personal archival practices for transition,Hospicing social media: Personal archival practices for transition,,Performance Theatre,Workshop,Session,"March 26th, 2026 10:30am","March 26th, 2026 12:30pm",,Media and Civics,,
"March 26, 2026 12:30 PM - 02:00 PM",,,,,,,,,thurs-lunch,Lunch Break (Not Catered),Lunch Break (Not Catered),Lunch Break (Not Catered),,,Info,Food,"March 26th, 2026 12:30pm","March 26th, 2026 2:00pm",,,,
"March 26, 2026 02:00 PM - 04:00 PM",Chad Miller,chadtmiller.com,,,,,,,Y5XGQQ6,Abstracting the Appview Workshop,Abstracting the Appview Workshop,Abstracting the Appview Workshop,"Chad's workshop dives into AppViews, what they are, how they work, and the different ways to implement them. He'll explore how tools like quickslice can abstract away the complexity so you can stay focused on your Lexicons and UI/UX. We'll also look at additional tools, including Tap, AIP, Constellation, and more, covering approaches from getting started all the way to production. Bring your questions. Many answers are 'it depends', shaped by your specific product and Lexicon design.",2301 Classroom,Workshop,Session,"March 26th, 2026 2:00pm","March 26th, 2026 4:00pm",,Development and Protocol,https://news.atmosphereconf.org/3mgu577ymks2v,More »
"March 26, 2026 02:00 PM - 04:00 PM",,,,,,,,,thurs-unconf-pm,Unconf Classroom,Unconf Classroom,Unconf Classroom,,2311 Classroom,Activity,Activity,"March 26th, 2026 2:00pm","March 26th, 2026 4:00pm",,,,
