Timeslot,1st speaker name,1st speaker handle,2nd speaker name,2nd speaker handle,3rd speaker name,3rd speaker handle,4th speaker name,4th speaker handle,talk id,Linked Sessions,Conference Events,Title,Description,Location,Session Type,Type,Start,End,Location Description,Track
"March 28, 2026 08:30 AM - 09:00 AM",,,,,,,,,,,Doors Open Day 3,Doors Open Day 3,Doors Open Day 3,,,,"March 28th, 2026 8:30am","March 28th, 2026 9:00am",,
"March 28, 2026 08:30 AM - 10:30 AM",,,,,,,,,,,Breakfast Day 3,Breakfast Day 3,,,,Food,"March 28th, 2026 8:30am","March 28th, 2026 10:30am",,
"March 28, 2026 09:00 AM - 09:15 AM",,,,,,,,,,,Opening Remarks Day 3,Opening Remarks Day 3,Opening Remarks Day 3,Great Hall South,,,"March 28th, 2026 9:00am","March 28th, 2026 9:15am",Main Theater,
"March 28, 2026 09:15 AM - 10:00 AM",@kissane.myatproto.social,Erin Kissane,,,,,,,gDELD0M,Landslide,Keynote Day 3,Landslide,Keynote Day 3,Great Hall South,Presentation,,"March 28th, 2026 9:15am","March 28th, 2026 10:00am",Main Theater,Media and Civics
"March 28, 2026 10:00 AM - 10:30 AM",@rude1.blacksky.team,Rudy Fraser,,,,,,,QK9Ae6Y,Groundings with my Siblings: Lessons Learned Building for Community,Day 3 Slot 1 a,Groundings with my Siblings: Lessons Learned Building for Community,"I had the privilege of discussing Blacksky and AT Protocol at several different college campuses, conference venues and other settings along with webinars and doing user research. I plan to share those learnings to help others build better products and how we particularly plan to incorporate those learnings from both a product and operations standpoint.",Great Hall South,Presentation,Session,"March 28th, 2026 10:00am","March 28th, 2026 10:30am",Main Theater,Development and Protocol
"March 28, 2026 10:30 AM - 11:00 AM",@brittanyellich.com,Brittany Ellich,,,,,,,obaP26x,Who owns the group chat? Building collaborative spaces on ATProto,Day 3 Slot 2 a,Who owns the group chat? Building collaborative spaces on ATProto,"Traditional social platforms centralize control of community spaces—the platform owns your group, your members, and your data. On ATProto, ownership, governance, and moderation become explicit design decisions. This talk explores building shared resources on a decentralized protocol—from data synchronization to governance models—drawing from real experience building community features and examples from other ATProto apps.",Great Hall South,Presentation,Session,"March 28th, 2026 10:30am","March 28th, 2026 11:00am",Main Theater,Development and Protocol
"March 28, 2026 11:00 AM - 11:30 AM",@laurenshof.online,Laurens Hof,,,,,,,ODxNLMM,Who talks to whom? Coordination gaps in decentralised infrastructure,Day 3 Slot 3 a,Who talks to whom? Coordination gaps in decentralised infrastructure,"ATProto aspires to power significant social networking infrastructure, but how its layered components (relays, labelers, AppViews, PDSes) should coordinate remains unclear. When a PDS provider bans an account, are there situations when other PDS providers should be notified? What happens when two AppViews make conflicting moderation decisions about the same content? This talk works through the practical coordination problems at each layer of the stack, draws on parallel situations from the fediverse, and proposes where the ecosystem needs to start building shared norms and documentation.",Great Hall South,Presentation,Session,"March 28th, 2026 11:00am","March 28th, 2026 11:30am",Main Theater,Media and Civics
"March 28, 2026 11:30 AM - 12:00 PM",@bad-example.com,fig,,,,,,,7Rrv0E0,Beyond Bluesky: Community infrastructure,Day 3 Slot 4 a,Beyond Bluesky: Community infrastructure,"Bluesky, a VC-backed company, runs public infrastructure that's widely depended upon by ATProto builders.

Microcosm, a set of community-funded open-source infra, supports dozens of ATProto projects and growing.

I'll dive into AT-protocol-specific economics of operating and scaling public infrastructure, and look ahead at how we get to a sustainable and diverse infra future. All grounded in the day-to-day reality of actually running big indexes, caches, relays, jetstreams, a PLC mirror, ...",Great Hall South,Presentation,Session,"March 28th, 2026 11:30am","March 28th, 2026 12:00pm",Main Theater,Development and Protocol
"March 28, 2026 12:00 PM - 01:30 PM",,,,,,,,,,,Lunch Day 3,Lunch Day 3,Lunch Day 3,Great Hall North,,Food,"March 28th, 2026 12:00pm","March 28th, 2026 1:30pm",Location for Breakfast,
"March 28, 2026 01:30 PM - 02:00 PM",pfrazee.com,Paul Frazee,,,,,,,aQ1J9GE,2026 Atmosphere Report,Day 3 Slot 5 a,2026 Atmosphere Report,"Paul Frazee, CTO of Bluesky, gives a report on the Atmosphere from Bluesky's point of view. New standards efforts, new protocol features, new developer tools and APIs - this year has it all. Paul will share what's going on, what Bluesky is working on, and why 2026 is going to be a great year for the Atmosphere.",Great Hall South,Presentation,Session,"March 28th, 2026 1:30pm","March 28th, 2026 2:00pm",Main Theater,Development and Protocol
